Ticker;Cotacao;P/L;P/VP;PSR;DY;P/Ativo;P/Cap.Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Mrg.Ebit;Mrg.Liq.;Liq.Corr.;ROIC;ROE;Liq.2meses;Pat.Liq;Div.Brut/Pat.;Cresc.5anos
BMOB3;11.97;13.2;1.07;1.352;0.0169;0.773;1.89;12.26;2.12;6.32;4.24;0.1103;0.1024;2.77;0.1175;0.0808;7031270.0;1021170000.0;0.0;3.1003
ECOR3;5.7;13.23;1.86;0.829;0.0;0.237;15.05;2.78;-0.33;8.52;5.8;0.2987;0.0608;1.12;0.0992;0.1404;34397200.0;2136220000.0;4.82;0.1044
PGMN3;4.35;13.43;0.91;0.25;0.0;0.298;1.64;5.45;-1.92;7.13;3.88;0.0458;0.0186;1.54;0.0748;0.0681;5882970.0;2111930000.0;0.51;0.0697
CRFB3;16.67;13.53;2.01;0.436;0.0329;0.599;5.92;8.73;-3.84;10.72;8.17;0.0499;0.035;1.24;0.0924;0.1486;69989200.0;17440000000.0;0.67;0.1266
MERC4;8.8;13.97;0.62;0.0;0.0544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0442;1032.72;256540000.0;0.0;-0.3644
AGXY3;7.6;14.65;0.93;0.152;0.0;0.145;3.59;4.83;-8.2;8.65;6.3;0.0315;0.0107;1.05;0.0782;0.0632;640912.0;1401550000.0;1.14;1.4034
B3SA3;10.96;14.65;3.07;6.569;0.0527;1.317;8.43;11.12;-7.32;10.27;8.72;0.5909;0.4483;1.67;0.1878;0.2092;443479000.0;21807200000.0;0.62;0.2759
BOAS3;5.35;14.69;1.37;3.584;0.0148;1.111;2.24;14.08;2.82;7.9;4.28;0.2546;0.244;6.82;0.1682;0.093;8702130.0;2082460000.0;0.03;0.0864
ALSO3;16.01;14.73;0.62;4.221;0.024;0.365;2.52;8.35;-2.92;4.78;3.46;0.5057;0.3347;3.64;0.0518;0.0423;38034700.0;6826900000.0;0.0;0.3188
FRAS3;9.8;14.78;2.48;1.0;0.0236;0.889;3.2;8.3;-7.73;10.33;7.63;0.1205;0.0673;2.13;0.1346;0.1681;3487210.0;1065070000.0;0.9;0.3013
BMIN4;13.9;14.87;0.51;0.0;0.1007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0343;1808.63;131334000.0;0.0;0.0407
BLAU3;25.06;14.96;2.7;3.321;0.0237;1.957;3.36;10.02;4.47;8.92;8.52;0.3316;0.2208;5.42;0.3229;0.1807;9496010.0;1663300000.0;0.2;0.1918
ELET3;46.2;15.03;1.29;2.63;0.0114;0.537;5.89;22.17;-1.48;27.37;18.3;0.1186;0.1768;1.71;0.0274;0.0857;771590000.0;78816100000.0;0.54;0.0347
RAIZ4;4.59;15.09;2.19;0.248;0.0;0.474;7.17;8.32;-1.53;12.6;5.96;0.0299;0.017;1.16;0.0782;0.1455;77722500.0;21648400000.0;1.51;0.3765
FLRY3;16.3;15.16;2.97;1.274;0.0576;0.864;12.53;7.79;-1.96;11.31;7.0;0.1635;0.0845;1.35;0.1283;0.196;34746900.0;1743720000.0;1.63;0.1237
ELET6;46.7;15.19;1.3;2.658;0.0235;0.543;5.95;22.41;-1.5;27.61;18.46;0.1186;0.1768;1.71;0.0274;0.0857;223542000.0;78816100000.0;0.54;0.0347
VIVA3;21.98;15.25;3.61;3.273;0.015;2.051;5.88;15.24;12.91;14.92;12.02;0.2148;0.2147;2.44;0.1733;0.2369;23588500.0;1437250000.0;0.2;0.4977
ENMT3;82.99;15.32;6.03;2.368;0.048;1.587;25.78;9.38;-3.46;11.51;10.26;0.2525;0.1545;1.28;0.1853;0.3933;179154.0;3014690000.0;1.53;0.1587
ENMT4;82.99;15.32;6.03;2.368;0.048;1.587;25.78;9.38;-3.46;11.51;10.26;0.2525;0.1545;1.28;0.1853;0.3933;134390.0;3014690000.0;1.53;0.1587
ABEV3;13.4;15.68;2.67;2.827;0.045;1.657;162.27;13.82;-16.59;13.09;9.77;0.2045;0.1864;1.04;0.1654;0.1705;294286000.0;78923100000.0;0.04;0.1128
TFCO4;8.9;15.81;4.94;2.941;0.0826;2.935;5.6;13.38;8.23;13.47;13.03;0.2198;0.186;3.2;0.2921;0.3124;3783820.0;287781000.0;0.29;0.7583
CSED3;2.91;15.85;0.76;0.593;0.045;0.227;1.67;3.66;-0.52;3.85;2.3;0.162;0.0374;2.05;0.0807;0.0481;1388640.0;1457280000.0;0.77;0.0378
AMBP3;22.33;15.85;2.44;1.042;0.0136;0.425;1.99;6.43;-1.03;12.21;7.61;0.162;0.0767;2.26;0.0901;0.154;32341200.0;1033160000.0;3.63;1.9465
VLID3;9.33;16.53;0.67;0.336;0.031;0.26;1.76;3.24;-1.81;6.65;4.02;0.1037;0.0193;1.48;0.1017;0.0407;3216420.0;1144670000.0;1.09;0.0848
MDIA3;26.1;16.77;1.4;1.077;0.0746;0.887;3.48;17.82;27.17;19.45;12.16;0.0605;0.0643;2.77;0.0591;0.0836;34417200.0;6313140000.0;0.26;0.1027
STBP3;6.52;16.79;2.5;3.389;0.0459;1.184;7.2;12.98;-4.73;11.35;7.82;0.261;0.2019;2.47;0.121;0.149;30508200.0;2248940000.0;0.16;0.1615
GGPS3;10.55;16.96;3.09;0.981;0.0177;1.045;3.53;11.51;-7.98;12.11;9.82;0.0852;0.0579;2.26;0.121;0.1824;17334600.0;2284100000.0;0.86;0.0
HYPE3;38.04;17.56;2.44;3.849;0.0324;1.183;9.46;11.84;-5.47;15.09;14.12;0.325;0.2192;1.72;0.1107;0.1387;158471000.0;9892280000.0;0.83;0.1526
BEEF3;13.27;17.75;16.59;0.284;0.0496;0.457;1.66;3.76;-1.39;6.8;5.82;0.0754;0.016;1.75;0.2331;0.9345;94552000.0;485754000.0;24.27;0.1896
LOGN3;30.34;18.04;5.94;2.17;0.0;1.135;6.76;12.47;-2.49;15.86;10.68;0.1741;0.1203;1.91;0.1192;0.3292;8523360.0;543864000.0;2.65;0.1185
PNVL3;9.59;18.08;1.35;0.427;0.0182;0.581;2.54;19.59;67.66;28.11;8.58;0.0218;0.0236;1.65;0.0391;0.0747;6960140.0;1066970000.0;0.68;0.0967
BPAC3;12.04;18.32;3.53;0.0;0.0106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1925;60790.3;39299500000.0;0.0;0.6569
ARZZ3;69.55;18.47;3.06;2.34;0.0144;1.898;9.09;19.94;13.09;18.82;14.5;0.1174;0.126;1.66;0.1406;0.1656;78718600.0;2497590000.0;0.11;0.1958
RENT3;52.41;19.12;4.95;3.675;0.0126;1.487;10.82;11.49;-3.67;13.84;11.91;0.3199;0.1922;1.87;0.1767;0.2587;394447000.0;8036630000.0;1.73;0.1271
RPAD6;4.5;19.42;0.37;0.0;0.0;0.365;6.21;-96.23;6.22;-80.05;-80.05;0.0;0.0;19.84;-0.004;0.0189;411.58;1039900000.0;0.0;-0.5335
EGIE3;41.3;20.06;4.03;2.728;0.0605;0.851;14.93;5.91;-1.45;8.71;7.35;0.4618;0.1361;1.39;0.1658;0.2009;67130800.0;8359300000.0;2.46;0.1493
ALPA3;17.4;20.12;2.2;2.99;0.0193;1.337;7.99;17.78;9.6;15.36;12.84;0.1682;0.1477;1.47;0.1008;0.1093;91562.9;5405790000.0;0.02;-0.0033
ENEV3;14.77;20.25;2.49;4.742;0.0;1.088;22.42;17.26;-2.64;23.53;16.43;0.2746;0.2343;1.47;0.0687;0.123;135832000.0;9391460000.0;1.02;0.1219
JPSA3;29.02;20.27;1.93;4.667;0.0029;0.468;2.34;12.96;-1.68;20.35;12.83;0.3602;0.4631;5.31;0.0456;0.0951;7666510.0;1762140000.0;1.94;0.0101
IGTI3;2.31;21.13;1.25;4.658;0.0129;0.59;2.44;11.03;-2.69;14.89;10.6;0.4223;0.3173;4.63;0.0725;0.0593;506376.0;3407800000.0;0.99;0.0514
BMIN3;19.76;21.14;0.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0343;185.28;131334000.0;0.0;0.0407
YDUQ3;13.07;21.15;1.23;0.897;0.0097;0.402;3.08;6.92;-1.04;13.47;6.12;0.1297;0.0424;1.84;0.0721;0.0582;37373800.0;3279590000.0;1.69;0.0629
BRGE3;6.44;21.3;0.38;111.073;0.0001;0.152;0.42;-0.81;1.03;1.68;1.69;-137.76;5.6379;2.67;-0.3543;0.0178;3337.95;1250990000.0;0.0;-0.3262
AMER3;13.43;21.37;0.79;0.459;0.0;0.278;1.39;10.25;-1.51;17.17;7.21;0.0448;0.0215;1.76;0.0389;0.0372;202174000.0;15327300000.0;0.92;0.3849
INTB3;24.71;21.65;4.1;2.486;0.0138;2.415;4.8;21.34;6.02;20.68;18.32;0.1165;0.1143;2.66;0.187;0.1893;38887300.0;1975710000.0;0.21;0.3658
SOMA3;9.2;22.05;1.01;2.089;0.0099;0.704;4.49;23.32;-111.1;26.21;17.07;0.0896;0.0948;2.14;0.0335;0.0457;61527600.0;7173290000.0;0.18;1.6523
ALPA4;19.14;22.13;2.42;3.289;0.0193;1.471;8.79;19.55;10.56;17.14;14.33;0.1682;0.1477;1.47;0.1008;0.1093;100867000.0;5405790000.0;0.02;-0.0033
